Types of Transaction,Month,Year,Volume,Amount,Type of Transaction,,,,
BancNet,May,2017,2746.00,91412677868.63,BSP,,,,
BancNet,Jun,2017,2494.00,60764883199.71,BSP,,,,
BancNet,Jul,2017,2434.00,64066398110.91,BSP,,,,
BancNet,Aug,2017,2596.00,57033030044.44,BSP,,,,
BancNet,Sep,2017,2335.00,57131372252.29,BSP,,,,
BancNet,Oct,2017,2462.00,62046646617.12,BSP,,,,
BancNet,Nov,2017,2448.00,91630209952.15,BSP,,,,
BancNet,Dec,2017,2316.00,88736673249.26,BSP,,,,
BancNet,Jan,2018,2554.00,78479182404.69,BSP,,,,
BancNet,Feb,2018,2301.00,63702024188.29,BSP,,,,
BancNet,Mar,2018,2433.00,80351448071.52,BSP,,,,
BancNet,Apr,2018,2458.00,77981834422.07,BSP,,,,
BancNet,May,2018,3058.00,103917071151.62,BSP,,,,
BancNet,Jun,2018,2825.00,79593380356.00,BSP,,,,
BancNet,Jul,2018,3195.00,81635134212.00,BSP,,,,
BancNet,Aug,2018,2978.00,73601757695.75,BSP,,,,
BancNet,Sep,2018,2848.00,75368758966.89,BSP,,,,
BancNet,Oct,2018,3284.00,80000000000.00,BSP,,,,
BancNet,Nov,2018,2719.00,120000000000.00,BSP,,,,
BancNet,Dec,2018,2626.00,110000000000.00,BSP,,,,
BancNet,Jan,2019,3147.00,97120793000.00,BSP,,,,
BancNet,Feb,2019,2604.00,80598960000.00,BSP,,,,
BancNet,Mar,2019,3128.00,80625862000.00,BSP,,,,
BancNet,Apr,2019,2870.00,89886430000.00,BSP,,,,
BancNet,May,2019,3151.00,116270716000.00,BSP,,,,
 InstaPay*** ,Jan,2016,0.00,0.00,BSP,,,,
 InstaPay*** ,Feb,2016,0.00,0.00,BSP,,,,
 InstaPay*** ,Mar,2016,0.00,0.00,BSP,,,,
 InstaPay*** ,Apr,2016,0.00,0.00,BSP,,,,
 InstaPay*** ,May,2016,0.00,0.00,BSP,,,,
 InstaPay*** ,Jun,2016,0.00,0.00,BSP,,,,
 InstaPay*** ,Jul,2016,0.00,0.00,BSP,,,,
 InstaPay*** ,Aug,2016,0.00,0.00,BSP,,,,
 InstaPay*** ,Sep,2016,0.00,0.00,BSP,,,,
 InstaPay*** ,Oct,2016,0.00,0.00,BSP,,,,
